PayByPalm 30-Day Master Tracker,,,,,,,,,,,,,,,,Task purpose & user impact,,
"September 1–30, 2026 • 73 task-specific user stories in E; purpose, beneficiaries and journey impact in Q:S. Open Task Stories for a compact reading view. Existing dates, owners, statuses and acceptance criteria are unchanged.",,,,,,,,,,,,,,,,Read alongside the story in column E. These are intended outcomes; status and acceptance evidence still determine completion.,,
,,,,,,,,,,,,,,,,,,
ID,Phase,Workstream,Task,Storyline / user story,Owner,Start,Due,Dependency,Priority,Status,% Complete,Acceptance criteria,Evidence / link,Blocker / notes,Schedule flag,Purpose / what this task is for,Who benefits,How it relates to users / journey impact
PB-001,1 Foundation,Product,Freeze one-month MVP and demo journey,"As a first-time customer, I want one complete journey from joining PayByPalm to paying a merchant, so that the prototype demonstrates a usable service rather than disconnected screens.",Product Lead,Sep 1,Sep 1,—,Critical,In Progress,10%,"Written scope covers enrollment, palm payment, terminal binding, merchant portal and settlement reconciliation.",,,OVERDUE,Agree the month’s minimum scope and one enrollment-to-settlement demonstration.,Customer; merchant; delivery team,"Journey: end to end. The team prioritizes account, consent, card linking, palm payment and merchant records; optional features cannot displace the core journey."
PB-002,1 Foundation,Architecture,Approve end-to-end architecture and trust boundaries,"As a customer linking my card and palm, I want each service to handle only the information it needs, so that using the terminal does not expose my payment credentials.",Backend,Sep 1,Sep 2,PB-001,Critical,Not Started,0%,"Diagram identifies PWA, terminal, backend, PalmAI, processor, database and webhook boundaries.",,,,"Define responsibilities and trust boundaries across PWA, terminal, backend, PalmAI and processor.",Customer; merchant; engineers,"Journey: enrollment and payment. Card entry stays with the processor, matching happens through the backend, and the merchant receives a verified result rather than sensitive data."
PB-003,1 Foundation,Backend,"Define users, palms, cards, merchants, terminals, transactions and settlements schema","As a customer, I want my palm, saved card and receipts to belong to my account, while each sale belongs to the right merchant.",Backend,Sep 1,Sep 3,PB-002,Critical,Not Started,0%,"Schema contains immutable IDs, relationships, audit timestamps and no raw PAN fields.",,,,"Create stable IDs and relationships for users, palm subjects, authorization references, terminals, merchants, transactions and settlements.",Customer; merchant; support team,Journey: identity to receipt. A palm lookup finds the correct user and active card reference; transaction and settlement records retain their correct owners without storing raw card numbers.
PB-004,1 Foundation,Payments,"Create Paystack test account, keys and webhook configuration","As a test participant, I want to rehearse card linking and payment without spending real money or exposing secret keys on a public screen.",Payments,Sep 1,Sep 2,PB-001,Critical,Not Started,0%,Server can authenticate in test mode; secret key is stored only as a backend secret.,,,,"Configure the processor’s test environment, backend secrets and webhook destination.",Test customer; test merchant; engineers,Journey: safe payment rehearsal. Enrollment and payment can be demonstrated with test cards; the terminal and PWA never receive the processor secret key.
PB-005,1 Foundation,Biometrics,"Confirm PalmAI token, endpoint payloads, limits and non-commercial restriction","As a test customer, I want my enrolled palm to be recognizable when I return, and I want the team to be clear that this is a non-commercial prototype.",Backend,Sep 1,Sep 2,PB-001,Critical,Not Started,0%,Registration and 1:N calls succeed from a backend test client; licence restriction logged.,,,,"Validate PalmAI registration and identification requests, credentials, limits and Community Edition restrictions.",Test customer; engineers; project owner,"Journey: enroll, then identify. The backend can register a palm and look it up later; the prototype is not presented as approved for commercial use."
PB-006,1 Foundation,Security/Compliance,"Define biometric consent, retention and deletion boundaries","As a customer, I want to know why my palm is collected, how long information is kept and how to withdraw before deciding whether to enroll.",Security/Compliance,Sep 1,Sep 3,PB-002,Critical,Not Started,0%,"Policy states what is collected, why, retention duration, deletion path and user rights.",,,,"Define biometric consent, retention and deletion rules before implementing capture.",Customer; privacy reviewer,Journey: before enrollment. The consent screens and deletion controls follow a defined policy rather than making promises the system cannot fulfill.
PB-007,1 Foundation,Terminal/Hardware,"Audit current Pi, display, power, camera, lighting and network components","As a merchant, I want a terminal that powers on, connects and captures a hand reliably, without discovering missing parts during a demonstration.",Hardware/CAD,Sep 1,Sep 2,—,High,Not Started,0%,"Inventory lists available, missing and incompatible components.",,,,"Inventory the Pi, display, power supply, camera, lighting, cables and connectivity; identify gaps.",Merchant; terminal operator; customer,"Journey: terminal readiness. Missing or incompatible components are found early, reducing avoidable downtime when someone tries to enroll or pay."
PB-008,1 Foundation,Terminal/Hardware,Order Camera Module 3 Wide and required ribbon cable,"As a customer, I want the camera to see my whole palm at a comfortable height instead of forcing me to lift my hand unusually high.",Hardware/CAD,Sep 1,Sep 2,PB-007,Critical,Not Started,0%,Correct RGB Wide module and Pi-compatible cable are ordered with delivery date confirmed.,,,,Obtain the planned wide camera and compatible ribbon cable so its capture geometry can be tested.,Customer; hardware builder,"Journey: approach the scanner. A wider view becomes available for testing; a comfortable distance is confirmed by measurements, not assumed from the lens specification."
PB-009,1 Foundation,Engineering,"Create repositories, environments and issue workflow","As a developer maintaining the prototype, I want reproducible setup and tracked issues so that fixing one screen does not leave another team member unable to run the system.",Product Lead,Sep 1,Sep 2,PB-001,High,Not Started,0%,"Frontend, backend and terminal projects run locally with documented setup.",,,,"Set up repositories, environments, setup instructions and issue ownership.",Engineers directly; customers and merchants indirectly,Journey: reliable delivery. The team can reproduce and fix enrollment or checkout problems; users benefit from consistent builds rather than seeing this internal tooling.
PB-010,1 Foundation,Architecture,Write API contracts and canonical transaction state machine,"As a customer and merchant waiting on a payment, we want the terminal and portal to agree on whether it is processing, failed or confirmed.",Backend,Sep 2,Sep 3,"PB-002, PB-003",Critical,Not Started,0%,"States cover initiated, identifying, authorized, failed, reversed, pending settlement and settled.",,,,"Define shared API requests, responses and transaction-state transitions.",Customer; merchant; engineers,Journey: payment status. A delayed response remains pending until resolved; a declined payment cannot appear successful simply because another screen used a different status definition.
PB-011,2 Recognition & UX,Biometrics,Connect Camera Module 3 Wide and validate autofocus,"As a customer placing my hand above the reader, I want a sharp image without repeatedly searching for the tiny distance at which the old camera focuses.",Hardware/CAD,Sep 3,Sep 4,PB-008,Critical,Not Started,0%,Camera captures sharp palms at several controlled distances.,,,,Connect the new camera and test autofocus at several controlled distances.,Customer; terminal operator,Journey: palm capture. The team identifies where focus works before choosing the final hand position; blurred capture is addressed before recognition is judged.
PB-012,2 Recognition & UX,Biometrics,Build terminal palm preview with centred hand guide,"As a customer scanning for the first time, I want an on-screen hand guide and feedback so I know where to place my palm and when capture is complete.",Terminal,Sep 3,Sep 5,PB-011,High,Not Started,0%,"Preview shows live guide, capture countdown and quality feedback.",,,,"Build live preview, centered guide, countdown and image-quality feedback.",Customer; terminal operator,"Journey: position and capture. The customer adjusts the hand using visible instructions, while the operator spends less time coaching every attempt."
PB-013,2 Recognition & UX,Biometrics,Register five test users with PalmAI,"As a test customer, I want my first palm enrollment to create my own identity so that my next scan can be recognized as mine.",Backend,Sep 3,Sep 5,"PB-005, PB-011",Critical,Not Started,0%,Five users each have a unique palm subject reference linked to a test user.,,,,Register five distinct consenting test users and link each PalmAI subject reference to a test account.,Test customer; QA team,"Journey: initial enrollment. Each participant has an individual test identity, enabling later checks that a scan never resolves to another participant’s account."
PB-014,2 Recognition & UX,Biometrics,Run 1:N identification across five captures per user,"As a returning customer, I want recognition to work on repeated visits, not only on the exact image captured during enrollment.",QA,Sep 5,Sep 6,PB-013,Critical,Not Started,0%,"Results table records match, miss, latency, distance and lighting for 25 known captures.",,,,Measure identification results across five new captures for each of five test users.,Test customer; QA team,"Journey: repeat payment. Logged matches, misses, lighting, distance and latency reveal conditions that need improvement; this small test is not proof of production-grade accuracy."
PB-015,2 Recognition & UX,Biometrics,Test unknown palms and duplicate enrollment,"As an enrolled customer, I want an unknown hand or a duplicate registration to be handled safely instead of being attached to my payment identity.",QA,Sep 5,Sep 6,PB-013,High,Not Started,0%,Unknown palms are rejected and duplicate handling is documented.,,,,Test unknown-palm rejection and define duplicate-enrollment handling.,Customer; enrollment operator,Journey: identity boundaries. Unknown people cannot proceed through a mistaken match in the tested cases; existing users receive a clear resolution path for duplicate enrollment.
PB-016,2 Recognition & UX,Biometrics,"Freeze capture distance, lighting and crop specification","As a customer, I want the hand position that worked during enrollment to remain the same when I come back to pay.",Hardware/CAD,Sep 6,Sep 7,"PB-014, PB-015",Critical,Not Started,0%,"Capture specification states distance, palm position, lighting and minimum acceptable image.",,,,"Freeze a tested specification for capture distance, lighting, crop and minimum image quality.",Customer; hardware and terminal teams,"Journey: consistent capture. The enclosure and on-screen guide use the same measured geometry, avoiding conflicting instructions or a camera position that cannot see the palm."
